nome,cpf,email,telefone,data_nascimento,salario,dia_pagamento,status
João Silva,123.456.789-01,joao@email.com,(11) 99999-1111,1990-05-15,2500,5,ativo
Maria Santos,987.654.321-02,maria@email.com,(11) 99999-2222,1985-08-20,3000,10,ativo
Pedro Oliveira,456.789.123-03,pedro@email.com,(11) 99999-3333,1992-12-10,2200,15,ativo
Ana Costa,789.123.456-04,ana@email.com,(11) 99999-4444,1988-03-25,2800,20,ativo
Carlos Lima,321.654.987-05,carlos@email.com,(11) 99999-5555,1995-07-08,2000,25,ativo
Fernanda Souza,654.987.321-06,,(11) 99999-6666,1993-11-12,2600,1,ativo
Roberto Alves,147.258.369-07,roberto@email.com,,1987-09-30,3200,5,ativo
Lucia Ferreira,258.369.147-08,lucia@email.com,(11) 99999-8888,1991-04-18,2400,10,ativo
Marcos Pereira,369.147.258-09,,(11) 99999-9999,1989-06-22,2700,15,ativo
Carla Mendes,741.852.963-10,carla@email.com,(11) 99999-0000,1994-02-14,2900,20,inativo
